Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp
community	2	Erythromycin	1.15	Benzbromarone	20	0.0897913129666937	PM
community	2	Erythromycin	1.15	Benzbromarone	40	0.17772272056874	PM
community	2	Erythromycin	1.15	Benzbromarone	80	0.0297532844885146	PM
community	2	Erythromycin	1.15	Benzbromarone	160	0.00703989249666573	PM
community	2	Erythromycin	1.15	Benzbromarone	320	0.00571174174498927	PM
community	2	Erythromycin	1.15	Benzbromarone	640	0.00677440252444564	PM
community	2	Erythromycin	0.65	Benzbromarone	0	0.102012077930841	PM
community	2	Erythromycin	0.65	Benzbromarone	10	0.446725981503616	PM
community	2	Erythromycin	0.65	Benzbromarone	20	0.270967026289314	PM
community	2	Erythromycin	0.65	Benzbromarone	40	0.23895561992231	PM
community	2	Erythromycin	0.65	Benzbromarone	80	0.0244402019250988	PM
community	2	Erythromycin	0.65	Benzbromarone	160	0.0136811995897133	PM
community	2	Erythromycin	0.65	Benzbromarone	320	0.00717284037215308	PM
community	2	Erythromycin	0.65	Benzbromarone	640	0.00836830147118603	PM
community	2	Erythromycin	0.15	Benzbromarone	0	0.83429299701308	PM
community	2	Erythromycin	0.15	Benzbromarone	10	0.827877801446708	PM
community	2	Erythromycin	0.15	Benzbromarone	20	0.432485857642075	PM
community	2	Erythromycin	0.15	Benzbromarone	40	0.446299525550566	PM
community	2	Erythromycin	0.15	Benzbromarone	80	0.0866031830724139	PM
community	2	Erythromycin	0.15	Benzbromarone	160	0.00411765835336049	PM
community	2	Erythromycin	0.15	Benzbromarone	320	0.00876684998582646	PM
community	2	Erythromycin	0.15	Benzbromarone	640	0.00611021648167437	PM
community	2	Erythromycin	0	Benzbromarone	0	1.1	PM
community	2	Erythromycin	0	Benzbromarone	10	0.898357263966058	PM
community	2	Erythromycin	0	Benzbromarone	20	0.66161617214256	PM
community	2	Erythromycin	0	Benzbromarone	40	0.536756241896296	PM
community	2	Erythromycin	0	Benzbromarone	80	0.00624286924534021	PM
community	2	Erythromycin	0	Benzbromarone	160	0.0146110231606153	PM
community	2	Erythromycin	0	Benzbromarone	320	0.00783702641492434	PM
community	2	Erythromycin	0	Benzbromarone	640	0.0066414546489584	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	0	0.00741296436302611	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	10	0.00820719347700609	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	20	0.00833289307855614	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	40	0.00953100669725757	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	80	0.00754530524755875	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	160	0.00450088927330424	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	320	0.00714809878717674	PM
community	2	Erythromycin	3.15	Tolfenamic Acid	640	0.0121832676187484	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	0	0.0111194281638607	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	10	0.00641040220606213	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	20	0.00784970441378775	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	40	0.00915696792807742	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	80	0.00860428965331766	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	160	0.00794229113979989	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	320	9.26569998512652e-4	PM
community	2	Erythromycin	2.65	Tolfenamic Acid	640	0.0102401108815836	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	0	0.00754545229298601	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	10	0.0103905492853844	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	20	0.00939884555502083	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	40	0.0112949307244864	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	80	0.00676808953166246	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	160	0.00675096584950832	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	320	0.00503005645294527	PM
community	2	Erythromycin	2.15	Tolfenamic Acid	640	0.0138358452907201	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	0	0.0165467278385448	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	10	0.0140316260893585	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	20	0.0206998174763386	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	40	0.0358723936841339	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	80	0.0250180516642636	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	160	0.00595658969010105	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	320	0.00225023617333687	PM
community	2	Erythromycin	1.65	Tolfenamic Acid	640	0.00767034628633771	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	0	0.0207825551775099	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	10	0.0263419384072288	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	20	0.0946440247098062	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	40	0.147089122553041	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	80	0.0583167446264911	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	160	0.0104836967173605	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	320	0.0101924537904232	PM
community	2	Erythromycin	1.15	Tolfenamic Acid	640	0.0193779175626649	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	0	0.109736329413243	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	10	0.36030717495663	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	20	0.456540466644249	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	40	0.432272913664321	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	80	0.154274254316819	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	160	0.0384360445966129	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	320	0.00476519087709586	PM
community	2	Erythromycin	0.65	Tolfenamic Acid	640	0.0137381323708544	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	0	0.846260081106422	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	10	0.853569849040221	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	20	0.804698624059695	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	40	0.748571303660208	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	80	0.366266852600706	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	160	0.120985595503467	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	320	0.00807444821754841	PM
community	2	Erythromycin	0.15	Tolfenamic Acid	640	0.0208328892415555	PM
community	2	Erythromycin	0	Tolfenamic Acid	0	1.1	PM
community	2	Erythromycin	0	Tolfenamic Acid	10	1.06097292809664	PM
community	2	Erythromycin	0	Tolfenamic Acid	20	1.02707227628307	PM
community	2	Erythromycin	0	Tolfenamic Acid	40	0.913244413467209	PM
community	2	Erythromycin	0	Tolfenamic Acid	80	0.627575449011827	PM
community	2	Erythromycin	0	Tolfenamic Acid	160	0.302861930446188	PM
community	2	Erythromycin	0	Tolfenamic Acid	320	0.229396491010854	PM
community	2	Erythromycin	0	Tolfenamic Acid	640	0.0194024571558646	PM
community	3	Erythromycin	3.15	Dicumarol	0	0.00591438032526057	PM
community	3	Erythromycin	3.15	Dicumarol	2.5	0.00604001075983618	PM
community	3	Erythromycin	3.15	Dicumarol	5	0.0100669292208791	PM
community	3	Erythromycin	3.15	Dicumarol	10	0.00880859801414807	PM
community	3	Erythromycin	3.15	Dicumarol	20	0.00805355735505482	PM
community	3	Erythromycin	3.15	Dicumarol	40	0.00780187713535707	PM
community	3	Erythromycin	3.15	Dicumarol	80	0.00704683647626378	PM
community	3	Erythromycin	3.15	Dicumarol	160	0.0026425025233109	PM
community	3	Erythromycin	2.65	Dicumarol	0	0.00830527252063146	PM
community	3	Erythromycin	2.65	Dicumarol	2.5	0.00478181933662066	PM
community	3	Erythromycin	2.65	Dicumarol	5	0.00880856306826919	PM
community	3	Erythromycin	2.65	Dicumarol	10	0.00968933899957468	PM
community	3	Erythromycin	2.65	Dicumarol	20	0.00918597856017917	PM
community	3	Erythromycin	2.65	Dicumarol	40	0.0105701848226379	PM
community	3	Erythromycin	2.65	Dicumarol	80	0.00717257174847599	PM
community	3	Erythromycin	2.65	Dicumarol	160	0.00316004539914006	PM
community	3	Erythromycin	2.15	Dicumarol	0	0.00943776361751358	PM
community	3	Erythromycin	2.15	Dicumarol	2.5	0.00830513273711593	PM
community	3	Erythromycin	2.15	Dicumarol	5	0.00490758955471178	PM
community	3	Erythromycin	2.15	Dicumarol	10	0.00931185361590694	PM
community	3	Erythromycin	2.15	Dicumarol	20	0.0118285160293689	PM
community	3	Erythromycin	2.15	Dicumarol	40	0.0138417481116775	PM
community	3	Erythromycin	2.15	Dicumarol	80	0.0164840759055939	PM
community	3	Erythromycin	2.15	Dicumarol	160	1.26063099395322e-4	PM
community	3	Erythromycin	1.65	Dicumarol	0	0.0108218300964568	PM
community	3	Erythromycin	1.65	Dicumarol	2.5	0.0158552597610174	PM
community	3	Erythromycin	1.65	Dicumarol	5	0.0124576816327344	PM
community	3	Erythromycin	1.65	Dicumarol	10	0.0100994423630058	PM
community	3	Erythromycin	1.65	Dicumarol	20	0.0590153422018394	PM
community	3	Erythromycin	1.65	Dicumarol	40	0.10683087968125	PM
community	3	Erythromycin	1.65	Dicumarol	80	0.0674455811853472	PM
community	3	Erythromycin	1.65	Dicumarol	160	0.00754995229450703	PM
community	3	Erythromycin	1.15	Dicumarol	0	0.0186235674482982	PM
community	3	Erythromycin	1.15	Dicumarol	2.5	0.0207627095322135	PM
community	3	Erythromycin	1.15	Dicumarol	5	0.0216434505176401	PM
community	3	Erythromycin	1.15	Dicumarol	10	0.0684527913064429	PM
community	3	Erythromycin	1.15	Dicumarol	20	0.188369399955668	PM
community	3	Erythromycin	1.15	Dicumarol	40	0.26122540694694	PM
community	3	Erythromycin	1.15	Dicumarol	80	0.227376339420931	PM
community	3	Erythromycin	1.15	Dicumarol	160	0.153136265950716	PM
community	3	Erythromycin	0.65	Dicumarol	0	0.0444189378357365	PM
community	3	Erythromycin	0.65	Dicumarol	2.5	0.134891337100089	PM
community	3	Erythromycin	0.65	Dicumarol	5	0.298849153580232	PM
community	3	Erythromycin	0.65	Dicumarol	10	0.377746010032435	PM
community	3	Erythromycin	0.65	Dicumarol	20	0.455133658813422	PM
community	3	Erythromycin	0.65	Dicumarol	40	0.435503405432212	PM
community	3	Erythromycin	0.65	Dicumarol	80	0.262987098593068	PM
community	3	Erythromycin	0.65	Dicumarol	160	0.026550341154774	PM
community	3	Erythromycin	0.15	Dicumarol	0	0.774376248823742	PM
community	3	Erythromycin	0.15	Dicumarol	2.5	0.79967031052807	PM
community	3	Erythromycin	0.15	Dicumarol	5	0.763429766777319	PM
community	3	Erythromycin	0.15	Dicumarol	10	0.754371760025601	PM
community	3	Erythromycin	0.15	Dicumarol	20	0.681892329825146	PM
community	3	Erythromycin	0.15	Dicumarol	40	0.735372000191154	PM
community	3	Erythromycin	0.15	Dicumarol	80	0.506603172334465	PM
community	3	Erythromycin	0.15	Dicumarol	160	0.212655877184804	PM
community	3	Erythromycin	0	Dicumarol	0	1.02001174006801	PM
community	3	Erythromycin	0	Dicumarol	2.5	0.994395318774098	PM
community	3	Erythromycin	0	Dicumarol	5	0.933963264279776	PM
community	3	Erythromycin	0	Dicumarol	10	0.853658173915331	PM
community	3	Erythromycin	0	Dicumarol	20	0.774005263373548	PM
community	3	Erythromycin	0	Dicumarol	40	0.720776958714327	PM
community	3	Erythromycin	0	Dicumarol	80	0.554799654839554	PM
community	3	Erythromycin	0	Dicumarol	160	0.147097373459006	PM
community	3	Erythromycin	3.15	Benzbromarone	0	0.00826681652694248	PM
community	3	Erythromycin	3.15	Benzbromarone	10	0.00787169872272328	PM
community	3	Erythromycin	3.15	Benzbromarone	20	0.00425868097809805	PM
community	3	Erythromycin	3.15	Benzbromarone	40	0.00249447219890111	PM
community	3	Erythromycin	3.15	Benzbromarone	80	0.00511345846390863	PM
community	3	Erythromycin	3.15	Benzbromarone	160	0.00386617041144023	PM
community	3	Erythromycin	3.15	Benzbromarone	320	0.0044897798023292	PM
community	3	Erythromycin	3.15	Benzbromarone	640	0.00687193562859155	PM
community	3	Erythromycin	2.65	Benzbromarone	0	0.0106596774536345	PM
community	3	Erythromycin	2.65	Benzbromarone	10	0.0119803420115689	PM
community	3	Erythromycin	2.65	Benzbromarone	20	0.00897994059345589	PM
community	3	Erythromycin	2.65	Benzbromarone	40	0.00326056952685581	PM
community	3	Erythromycin	2.65	Benzbromarone	80	0.00286849929205356	PM
community	3	Erythromycin	2.65	Benzbromarone	160	0.00598644234046273	PM
community	3	Erythromycin	2.65	Benzbromarone	320	0.0108967609057345	PM
community	3	Erythromycin	2.65	Benzbromarone	640	0.00551099072256828	PM
community	3	Erythromycin	2.15	Benzbromarone	0	0.0084023815204049	PM
community	3	Erythromycin	2.15	Benzbromarone	10	0.00627049478637859	PM
community	3	Erythromycin	2.15	Benzbromarone	20	0.00817150121570375	PM
community	3	Erythromycin	2.15	Benzbromarone	40	0.0052382149774316	PM
community	3	Erythromycin	2.15	Benzbromarone	80	0.00187065499594075	PM
community	3	Erythromycin	2.15	Benzbromarone	160	0.00573703321945238	PM
community	3	Erythromycin	2.15	Benzbromarone	320	0.00611116421864053	PM
community	3	Erythromycin	2.15	Benzbromarone	640	0.0115942023795922	PM
community	3	Erythromycin	1.65	Benzbromarone	0	0.012097883641865	PM
community	3	Erythromycin	1.65	Benzbromarone	10	0.0209942225991617	PM
community	3	Erythromycin	1.65	Benzbromarone	20	0.0480296685481859	PM
community	3	Erythromycin	1.65	Benzbromarone	40	0.0224622662098279	PM
community	3	Erythromycin	1.65	Benzbromarone	80	0.00760765358004776	PM
community	3	Erythromycin	1.65	Benzbromarone	160	0.00349197014156157	PM
community	3	Erythromycin	1.65	Benzbromarone	320	0.00399089228961802	PM
community	3	Erythromycin	1.65	Benzbromarone	640	0.00448974516698397	PM
community	3	Erythromycin	1.15	Benzbromarone	0	0.0236966026882569	PM
community	3	Erythromycin	1.15	Benzbromarone	10	0.0893498463782544	PM
community	3	Erythromycin	1.15	Benzbromarone	20	0.141858346217294	PM
community	3	Erythromycin	1.15	Benzbromarone	40	0.0868348012321766	PM
community	3	Erythromycin	1.15	Benzbromarone	80	0.0235712573738646	PM
community	3	Erythromycin	1.15	Benzbromarone	160	0.00399085765427273	PM
community	3	Erythromycin	1.15	Benzbromarone	320	0.00473918892333956	PM
community	3	Erythromycin	1.15	Benzbromarone	640	0.00723359185155021	PM
community	3	Erythromycin	0.65	Benzbromarone	0	0.0609866778608095	PM
community	3	Erythromycin	0.65	Benzbromarone	10	0.373662124417191	PM
community	3	Erythromycin	0.65	Benzbromarone	20	0.402427612853845	PM
community	3	Erythromycin	0.65	Benzbromarone	40	0.168358458992064	PM
community	3	Erythromycin	0.65	Benzbromarone	80	0.0776975738633358	PM
community	3	Erythromycin	0.65	Benzbromarone	160	0.0120974680177221	PM
community	3	Erythromycin	0.65	Benzbromarone	320	0.00574037116772137	PM
community	3	Erythromycin	0.65	Benzbromarone	640	0.00261902090035275	PM
community	3	Erythromycin	0.15	Benzbromarone	0	0.802042438802963	PM
community	3	Erythromycin	0.15	Benzbromarone	10	0.831502508984408	PM
community	3	Erythromycin	0.15	Benzbromarone	20	0.737087458402949	PM
community	3	Erythromycin	0.15	Benzbromarone	40	0.353445974403091	PM
community	3	Erythromycin	0.15	Benzbromarone	80	0.0859664719612335	PM
community	3	Erythromycin	0.15	Benzbromarone	160	0.00611102567725953	PM
community	3	Erythromycin	0.15	Benzbromarone	320	0.00286846465670834	PM
community	3	Erythromycin	0.15	Benzbromarone	640	0.00648529521782866	PM
community	3	Erythromycin	0	Benzbromarone	0	1.1	PM
community	3	Erythromycin	0	Benzbromarone	10	0.922728039242771	PM
community	3	Erythromycin	0	Benzbromarone	20	0.828559912284961	PM
community	3	Erythromycin	0	Benzbromarone	40	0.44995603203049	PM
community	3	Erythromycin	0	Benzbromarone	80	0.229113756828362	PM
community	3	Erythromycin	0	Benzbromarone	160	0.00798174994389058	PM
community	3	Erythromycin	0	Benzbromarone	320	0.00274374277853055	PM
community	3	Erythromycin	0	Benzbromarone	640	0.0031178737777187	PM
community	3	Erythromycin	3.15	Tolfenamic Acid	0	0.0088176285985643	PM
community	3	Erythromycin	3.15	Tolfenamic Acid	10	0.0123290765729949	PM
community	3	Erythromycin	3.15	Tolfenamic Acid	20	0.0120813035376122	PM
community	3	Erythromycin	3.15	Tolfenamic Acid	40	0.0114121449591809	PM
community	3	Erythromycin	3.15	Tolfenamic Acid	80	0.00923505912728848	PM
community	3	Erythromycin	3.15	Tolfenamic Acid	160	0.0027958853515332102	PM
community	3	Erythromycin	3.15	Tolfenamic Acid	320	0.00102429187682379	PM
community	3	Erythromycin	3.15	Tolfenamic Acid	640	0.015310996867354	PM
community	3	Erythromycin	2.65	Tolfenamic Acid	0	0.00871487324377293	PM
community	3	Erythromycin	2.65	Tolfenamic Acid	10	0.00897601831203358	PM
community	3	Erythromycin	2.65	Tolfenamic Acid	20	0.014630970703562	PM
community	3	Erythromycin	2.65	Tolfenamic Acid	40	0.0165328729674506	PM
community	3	Erythromycin	2.65	Tolfenamic Acid	80	0.0108612449291562	PM
community	3	Erythromycin	2.65	Tolfenamic Acid	160	0.00994902757282887	PM
community	3	Erythromycin	2.65	Tolfenamic Acid	320	0.00102871585423676	PM
community	3	Erythromycin	2.65	Tolfenamic Acid	640	0.0174457317327511	PM
community	3	Erythromycin	2.15	Tolfenamic Acid	0	0.0129488733634287	PM
community	3	Erythromycin	2.15	Tolfenamic Acid	10	0.0130628904932979	PM
community	3	Erythromycin	2.15	Tolfenamic Acid	20	0.0140724380961339	PM
community	3	Erythromycin	2.15	Tolfenamic Acid	40	0.00709914413311115	PM
community	3	Erythromycin	2.15	Tolfenamic Acid	80	0.0121668458995838	PM
community	3	Erythromycin	2.15	Tolfenamic Acid	160	0.00234842465246088	PM
community	3	Erythromycin	2.15	Tolfenamic Acid	320	7.33895441596078e-4	PM
community	3	Erythromycin	2.15	Tolfenamic Acid	640	0.0990227997621254	PM
community	3	Erythromycin	1.65	Tolfenamic Acid	0	0.0127691692740731	PM
community	3	Erythromycin	1.65	Tolfenamic Acid	10	0.014823994989249	PM
community	3	Erythromycin	1.65	Tolfenamic Acid	20	0.0140143240008198	PM
community	3	Erythromycin	1.65	Tolfenamic Acid	40	0.0184932683939965	PM
community	3	Erythromycin	1.65	Tolfenamic Acid	80	0.0179747390970902	PM
community	3	Erythromycin	1.65	Tolfenamic Acid	160	0.00528384337625889	PM
community	3	Erythromycin	1.65	Tolfenamic Acid	320	0.00176126753853744	PM
community	3	Erythromycin	1.65	Tolfenamic Acid	640	0.0232507561124346	PM
community	3	Erythromycin	1.15	Tolfenamic Acid	0	0.0149895156005799	PM
community	3	Erythromycin	1.15	Tolfenamic Acid	10	0.0189303664751404	PM
community	3	Erythromycin	1.15	Tolfenamic Acid	20	0.0217401559959549	PM
community	3	Erythromycin	1.15	Tolfenamic Acid	40	0.0460229518551003	PM
community	3	Erythromycin	1.15	Tolfenamic Acid	80	0.0243088412976089	PM
community	3	Erythromycin	1.15	Tolfenamic Acid	160	0.00369261844807861	PM
community	3	Erythromycin	1.15	Tolfenamic Acid	320	0.00513710504858625	PM
community	3	Erythromycin	1.15	Tolfenamic Acid	640	0.0187109019759764	PM
community	3	Erythromycin	0.65	Tolfenamic Acid	0	0.0400719412165959	PM
community	3	Erythromycin	0.65	Tolfenamic Acid	10	0.20933607866753	PM
community	3	Erythromycin	0.65	Tolfenamic Acid	20	0.359612988620168	PM
community	3	Erythromycin	0.65	Tolfenamic Acid	40	0.340913511179015	PM
community	3	Erythromycin	0.65	Tolfenamic Acid	80	0.100972966628399	PM
community	3	Erythromycin	0.65	Tolfenamic Acid	160	0.0095280831100009	PM
community	3	Erythromycin	0.65	Tolfenamic Acid	320	0.00236632661398455	PM
community	3	Erythromycin	0.15	Tolfenamic Acid	0	0.730362936330959	PM
community	3	Erythromycin	0.15	Tolfenamic Acid	10	0.819571706840936	PM
community	3	Erythromycin	0.15	Tolfenamic Acid	20	0.765803193941547	PM
community	3	Erythromycin	0.15	Tolfenamic Acid	40	0.699953542396984	PM
community	3	Erythromycin	0.15	Tolfenamic Acid	80	0.306340669856177	PM
community	3	Erythromycin	0.15	Tolfenamic Acid	160	0.0700368483707838	PM
community	3	Erythromycin	0.15	Tolfenamic Acid	320	0.0044142289048849	PM
community	3	Erythromycin	0.15	Tolfenamic Acid	640	0.0186303127914081	PM
community	3	Erythromycin	0	Tolfenamic Acid	0	1.1	PM
community	3	Erythromycin	0	Tolfenamic Acid	10	1.04901554982256	PM
community	3	Erythromycin	0	Tolfenamic Acid	20	1.00102555146856	PM
community	3	Erythromycin	0	Tolfenamic Acid	40	0.852062144356046	PM
community	3	Erythromycin	0	Tolfenamic Acid	80	0.551039298625164	PM
community	3	Erythromycin	0	Tolfenamic Acid	160	0.00117044515069166	PM
community	3	Erythromycin	0	Tolfenamic Acid	320	0.121999159896909	PM
