target_species	prestwick_ID	human_use	n_hit	hit
antiseptic	Prestw-1194	TRUE	36	TRUE
antiseptic	Prestw-143	TRUE	40	TRUE
antiseptic	Prestw-1472	TRUE	37	TRUE
antiseptic	Prestw-1479	TRUE	29	TRUE
antiseptic	Prestw-388	TRUE	29	TRUE
antiseptic	Prestw-551	TRUE	6	TRUE
antiseptic	Prestw-705	TRUE	33	TRUE
antiseptic	Prestw-708	TRUE	35	TRUE
antiseptic	Prestw-711	TRUE	0	FALSE
antiseptic	Prestw-777	TRUE	37	TRUE
antiseptic	Prestw-787	TRUE	32	TRUE
antiseptic	Prestw-925	TRUE	24	TRUE
bacteria	Prestw-10	TRUE	0	FALSE
bacteria	Prestw-1000	TRUE	22	TRUE
bacteria	Prestw-1009	TRUE	19	TRUE
bacteria	Prestw-1010	TRUE	34	TRUE
bacteria	Prestw-1011	TRUE	28	TRUE
bacteria	Prestw-1028	TRUE	35	TRUE
bacteria	Prestw-1053	TRUE	2	TRUE
bacteria	Prestw-1067	TRUE	36	TRUE
bacteria	Prestw-1078	TRUE	38	TRUE
bacteria	Prestw-1086	TRUE	0	FALSE
bacteria	Prestw-1089	TRUE	1	TRUE
bacteria	Prestw-1106	TRUE	37	TRUE
bacteria	Prestw-1109	TRUE	40	TRUE
bacteria	Prestw-1113	TRUE	0	FALSE
bacteria	Prestw-1118	TRUE	30	TRUE
bacteria	Prestw-1120	TRUE	38	TRUE
bacteria	Prestw-113	TRUE	39	TRUE
bacteria	Prestw-114	TRUE	35	TRUE
bacteria	Prestw-1157	TRUE	39	TRUE
bacteria	Prestw-1202	TRUE	0	FALSE
bacteria	Prestw-1234	TRUE	39	TRUE
bacteria	Prestw-1263	TRUE	33	TRUE
bacteria	Prestw-1265	TRUE	38	TRUE
bacteria	Prestw-1282	TRUE	0	FALSE
bacteria	Prestw-1303	TRUE	18	TRUE
bacteria	Prestw-1315	TRUE	2	TRUE
bacteria	Prestw-1321	TRUE	0	FALSE
bacteria	Prestw-1338	TRUE	33	TRUE
bacteria	Prestw-1339	TRUE	38	TRUE
bacteria	Prestw-1343	TRUE	34	TRUE
bacteria	Prestw-1345	TRUE	4	TRUE
bacteria	Prestw-1349	TRUE	14	TRUE
bacteria	Prestw-137	TRUE	39	TRUE
bacteria	Prestw-1378	TRUE	39	TRUE
bacteria	Prestw-1379	TRUE	39	TRUE
bacteria	Prestw-139	TRUE	35	TRUE
bacteria	Prestw-1399	TRUE	40	TRUE
bacteria	Prestw-14	TRUE	0	FALSE
bacteria	Prestw-140	TRUE	39	TRUE
bacteria	Prestw-1401	TRUE	28	TRUE
bacteria	Prestw-1414	TRUE	10	TRUE
bacteria	Prestw-1429	TRUE	39	TRUE
bacteria	Prestw-1431	TRUE	28	TRUE
bacteria	Prestw-1446	TRUE	39	TRUE
bacteria	Prestw-1447	TRUE	4	TRUE
bacteria	Prestw-145	TRUE	40	TRUE
bacteria	Prestw-1464	TRUE	40	TRUE
bacteria	Prestw-1474	TRUE	32	TRUE
bacteria	Prestw-1475	TRUE	25	TRUE
bacteria	Prestw-1478	TRUE	38	TRUE
bacteria	Prestw-151	TRUE	37	TRUE
bacteria	Prestw-154	TRUE	37	TRUE
bacteria	Prestw-158	TRUE	0	FALSE
bacteria	Prestw-159	TRUE	4	TRUE
bacteria	Prestw-16	TRUE	0	FALSE
bacteria	Prestw-160	TRUE	3	TRUE
bacteria	Prestw-161	TRUE	0	FALSE
bacteria	Prestw-164	TRUE	33	TRUE
bacteria	Prestw-166	TRUE	18	TRUE
bacteria	Prestw-168	TRUE	31	TRUE
bacteria	Prestw-177	TRUE	0	FALSE
bacteria	Prestw-185	TRUE	7	TRUE
bacteria	Prestw-186	TRUE	27	TRUE
bacteria	Prestw-193	TRUE	4	TRUE
bacteria	Prestw-204	TRUE	25	TRUE
bacteria	Prestw-208	TRUE	21	TRUE
bacteria	Prestw-21	TRUE	0	FALSE
bacteria	Prestw-221	TRUE	22	TRUE
bacteria	Prestw-23	TRUE	0	FALSE
bacteria	Prestw-237	TRUE	23	TRUE
bacteria	Prestw-238	TRUE	26	TRUE
bacteria	Prestw-25	TRUE	39	TRUE
bacteria	Prestw-28	TRUE	0	FALSE
bacteria	Prestw-302	TRUE	37	TRUE
bacteria	Prestw-307	TRUE	39	TRUE
bacteria	Prestw-31	TRUE	40	TRUE
bacteria	Prestw-315	TRUE	40	TRUE
bacteria	Prestw-321	TRUE	0	FALSE
bacteria	Prestw-327	TRUE	35	TRUE
bacteria	Prestw-334	TRUE	0	FALSE
bacteria	Prestw-35	TRUE	0	FALSE
bacteria	Prestw-357	TRUE	35	TRUE
bacteria	Prestw-36	TRUE	33	TRUE
bacteria	Prestw-376	TRUE	25	TRUE
bacteria	Prestw-390	TRUE	35	TRUE
bacteria	Prestw-394	TRUE	0	FALSE
bacteria	Prestw-395	TRUE	11	TRUE
bacteria	Prestw-416	TRUE	25	TRUE
bacteria	Prestw-424	TRUE	9	TRUE
bacteria	Prestw-434	TRUE	2	TRUE
bacteria	Prestw-450	TRUE	30	TRUE
bacteria	Prestw-456	TRUE	40	TRUE
bacteria	Prestw-462	TRUE	25	TRUE
bacteria	Prestw-470	TRUE	33	TRUE
bacteria	Prestw-473	TRUE	30	TRUE
bacteria	Prestw-482	TRUE	29	TRUE
bacteria	Prestw-485	TRUE	17	TRUE
bacteria	Prestw-486	TRUE	21	TRUE
bacteria	Prestw-489	TRUE	26	TRUE
bacteria	Prestw-497	TRUE	30	TRUE
bacteria	Prestw-506	TRUE	2	TRUE
bacteria	Prestw-514	TRUE	0	FALSE
bacteria	Prestw-519	TRUE	33	TRUE
bacteria	Prestw-525	TRUE	39	TRUE
bacteria	Prestw-526	TRUE	0	FALSE
bacteria	Prestw-544	TRUE	11	TRUE
bacteria	Prestw-555	TRUE	37	TRUE
bacteria	Prestw-557	TRUE	36	TRUE
bacteria	Prestw-694	TRUE	0	FALSE
bacteria	Prestw-700	TRUE	29	TRUE
bacteria	Prestw-702	TRUE	0	FALSE
bacteria	Prestw-719	TRUE	34	TRUE
bacteria	Prestw-720	TRUE	31	TRUE
bacteria	Prestw-723	TRUE	33	TRUE
bacteria	Prestw-724	TRUE	0	FALSE
bacteria	Prestw-728	TRUE	0	FALSE
bacteria	Prestw-729	TRUE	0	FALSE
bacteria	Prestw-736	TRUE	37	TRUE
bacteria	Prestw-742	TRUE	0	FALSE
bacteria	Prestw-745	TRUE	36	TRUE
bacteria	Prestw-753	TRUE	40	TRUE
bacteria	Prestw-755	TRUE	37	TRUE
bacteria	Prestw-758	TRUE	1	TRUE
bacteria	Prestw-762	TRUE	0	FALSE
bacteria	Prestw-766	TRUE	34	TRUE
bacteria	Prestw-769	TRUE	0	FALSE
bacteria	Prestw-775	TRUE	0	FALSE
bacteria	Prestw-780	TRUE	4	TRUE
bacteria	Prestw-804	TRUE	5	TRUE
bacteria	Prestw-805	TRUE	0	FALSE
bacteria	Prestw-808	TRUE	39	TRUE
bacteria	Prestw-81	TRUE	33	TRUE
bacteria	Prestw-814	TRUE	21	TRUE
bacteria	Prestw-819	TRUE	31	TRUE
bacteria	Prestw-821	TRUE	30	TRUE
bacteria	Prestw-832	TRUE	33	TRUE
bacteria	Prestw-843	TRUE	26	TRUE
bacteria	Prestw-854	TRUE	37	TRUE
bacteria	Prestw-867	TRUE	0	FALSE
bacteria	Prestw-869	TRUE	0	FALSE
bacteria	Prestw-897	TRUE	3	TRUE
bacteria	Prestw-913	TRUE	0	FALSE
bacteria	Prestw-919	TRUE	30	TRUE
bacteria	Prestw-964	TRUE	40	TRUE
fungi	Prestw-1045	TRUE	15	TRUE
fungi	Prestw-1063	TRUE	0	FALSE
fungi	Prestw-1125	TRUE	21	TRUE
fungi	Prestw-1139	TRUE	0	FALSE
fungi	Prestw-1140	TRUE	0	FALSE
fungi	Prestw-1184	TRUE	25	TRUE
fungi	Prestw-1241	TRUE	19	TRUE
fungi	Prestw-1252	TRUE	6	TRUE
fungi	Prestw-1269	TRUE	4	TRUE
fungi	Prestw-127	TRUE	28	TRUE
fungi	Prestw-1417	TRUE	0	FALSE
fungi	Prestw-1500	TRUE	0	FALSE
fungi	Prestw-226	TRUE	0	FALSE
fungi	Prestw-234	TRUE	0	FALSE
fungi	Prestw-267	TRUE	28	TRUE
fungi	Prestw-304	TRUE	24	TRUE
fungi	Prestw-389	TRUE	10	TRUE
fungi	Prestw-408	TRUE	17	TRUE
fungi	Prestw-410	TRUE	0	FALSE
fungi	Prestw-495	TRUE	0	FALSE
fungi	Prestw-517	TRUE	0	FALSE
fungi	Prestw-524	TRUE	0	FALSE
fungi	Prestw-541	TRUE	0	FALSE
fungi	Prestw-67	TRUE	26	TRUE
fungi	Prestw-70	TRUE	5	TRUE
fungi	Prestw-810	TRUE	14	TRUE
fungi	Prestw-934	TRUE	1	TRUE
human	Prestw-1	TRUE	13	TRUE
human	Prestw-100	TRUE	0	FALSE
human	Prestw-1001	TRUE	0	FALSE
human	Prestw-1002	TRUE	0	FALSE
human	Prestw-1003	TRUE	0	FALSE
human	Prestw-1004	TRUE	0	FALSE
human	Prestw-1006	TRUE	0	FALSE
human	Prestw-101	TRUE	1	TRUE
human	Prestw-1012	TRUE	0	FALSE
human	Prestw-1013	TRUE	1	TRUE
human	Prestw-1014	TRUE	3	TRUE
human	Prestw-1015	TRUE	0	FALSE
human	Prestw-1016	TRUE	0	FALSE
human	Prestw-1017	TRUE	0	FALSE
human	Prestw-1018	TRUE	0	FALSE
human	Prestw-1019	TRUE	1	TRUE
human	Prestw-102	TRUE	2	TRUE
human	Prestw-1020	TRUE	0	FALSE
human	Prestw-1021	TRUE	0	FALSE
human	Prestw-1023	TRUE	0	FALSE
human	Prestw-1025	TRUE	0	FALSE
human	Prestw-1027	TRUE	0	FALSE
human	Prestw-1029	TRUE	0	FALSE
human	Prestw-103	TRUE	1	TRUE
human	Prestw-1030	TRUE	0	FALSE
human	Prestw-1032	TRUE	0	FALSE
human	Prestw-1033	TRUE	0	FALSE
human	Prestw-1034	TRUE	0	FALSE
human	Prestw-1035	TRUE	0	FALSE
human	Prestw-1036	TRUE	0	FALSE
human	Prestw-1038	TRUE	0	FALSE
human	Prestw-1039	TRUE	0	FALSE
human	Prestw-104	TRUE	1	TRUE
human	Prestw-1041	TRUE	4	TRUE
human	Prestw-1042	TRUE	0	FALSE
human	Prestw-1043	TRUE	0	FALSE
human	Prestw-1044	TRUE	0	FALSE
human	Prestw-1046	TRUE	0	FALSE
human	Prestw-1047	TRUE	0	FALSE
human	Prestw-1049	TRUE	0	FALSE
human	Prestw-105	TRUE	0	FALSE
human	Prestw-1050	TRUE	0	FALSE
human	Prestw-1051	TRUE	7	TRUE
human	Prestw-1052	TRUE	1	TRUE
human	Prestw-1055	TRUE	0	FALSE
human	Prestw-1057	TRUE	0	FALSE
human	Prestw-1058	TRUE	0	FALSE
human	Prestw-1059	TRUE	0	FALSE
human	Prestw-106	TRUE	1	TRUE
human	Prestw-1060	TRUE	1	TRUE
human	Prestw-1061	TRUE	0	FALSE
human	Prestw-1062	TRUE	0	FALSE
human	Prestw-1064	TRUE	0	FALSE
human	Prestw-1065	TRUE	0	FALSE
human	Prestw-1066	TRUE	1	TRUE
human	Prestw-1068	TRUE	4	TRUE
human	Prestw-1069	TRUE	0	FALSE
human	Prestw-1072	TRUE	7	TRUE
human	Prestw-1073	TRUE	0	FALSE
human	Prestw-1074	TRUE	0	FALSE
human	Prestw-1075	TRUE	0	FALSE
human	Prestw-1076	TRUE	0	FALSE
human	Prestw-1079	TRUE	0	FALSE
human	Prestw-108	TRUE	0	FALSE
human	Prestw-1080	TRUE	1	TRUE
human	Prestw-1081	TRUE	0	FALSE
human	Prestw-1082	TRUE	0	FALSE
human	Prestw-1088	TRUE	0	FALSE
human	Prestw-109	TRUE	0	FALSE
human	Prestw-1091	TRUE	0	FALSE
human	Prestw-1092	TRUE	0	FALSE
human	Prestw-1095	TRUE	0	FALSE
human	Prestw-1096	TRUE	0	FALSE
human	Prestw-1097	TRUE	0	FALSE
human	Prestw-1099	TRUE	0	FALSE
human	Prestw-11	TRUE	0	FALSE
human	Prestw-110	TRUE	2	TRUE
human	Prestw-1101	TRUE	0	FALSE
human	Prestw-1102	TRUE	1	TRUE
human	Prestw-1104	TRUE	0	FALSE
human	Prestw-1107	TRUE	0	FALSE
human	Prestw-1108	TRUE	0	FALSE
human	Prestw-111	TRUE	0	FALSE
human	Prestw-1111	TRUE	0	FALSE
human	Prestw-1112	TRUE	0	FALSE
human	Prestw-1116	TRUE	0	FALSE
human	Prestw-1119	TRUE	0	FALSE
human	Prestw-112	TRUE	0	FALSE
human	Prestw-1127	TRUE	0	FALSE
human	Prestw-1129	TRUE	0	FALSE
human	Prestw-1130	TRUE	4	TRUE
human	Prestw-1132	TRUE	0	FALSE
human	Prestw-1134	TRUE	0	FALSE
human	Prestw-1136	TRUE	0	FALSE
human	Prestw-1137	TRUE	0	FALSE
human	Prestw-1144	TRUE	0	FALSE
human	Prestw-1147	TRUE	0	FALSE
human	Prestw-115	TRUE	2	TRUE
human	Prestw-1152	TRUE	1	TRUE
human	Prestw-1154	TRUE	0	FALSE
human	Prestw-1156	TRUE	0	FALSE
human	Prestw-1158	TRUE	0	FALSE
human	Prestw-1159	TRUE	0	FALSE
human	Prestw-116	TRUE	0	FALSE
human	Prestw-1161	TRUE	9	TRUE
human	Prestw-1162	TRUE	0	FALSE
human	Prestw-1165	TRUE	0	FALSE
human	Prestw-1166	TRUE	0	FALSE
human	Prestw-1167	TRUE	33	TRUE
human	Prestw-1169	TRUE	0	FALSE
human	Prestw-117	TRUE	1	TRUE
human	Prestw-1170	TRUE	0	FALSE
human	Prestw-1173	TRUE	0	FALSE
human	Prestw-1174	TRUE	6	TRUE
human	Prestw-1178	TRUE	0	FALSE
human	Prestw-1179	TRUE	0	FALSE
human	Prestw-118	TRUE	0	FALSE
human	Prestw-1180	TRUE	0	FALSE
human	Prestw-1181	TRUE	0	FALSE
human	Prestw-1182	TRUE	0	FALSE
human	Prestw-1183	TRUE	1	TRUE
human	Prestw-1187	TRUE	0	FALSE
human	Prestw-1188	TRUE	1	TRUE
human	Prestw-1189	TRUE	8	TRUE
human	Prestw-119	TRUE	0	FALSE
human	Prestw-1190	TRUE	0	FALSE
human	Prestw-1192	TRUE	0	FALSE
human	Prestw-1196	TRUE	0	FALSE
human	Prestw-1197	TRUE	9	TRUE
human	Prestw-1198	TRUE	0	FALSE
human	Prestw-1199	TRUE	0	FALSE
human	Prestw-12	TRUE	0	FALSE
human	Prestw-120	TRUE	0	FALSE
human	Prestw-1203	TRUE	26	TRUE
human	Prestw-1206	TRUE	0	FALSE
human	Prestw-1207	TRUE	0	FALSE
human	Prestw-121	TRUE	0	FALSE
human	Prestw-1210	TRUE	0	FALSE
human	Prestw-1211	TRUE	7	TRUE
human	Prestw-1213	TRUE	0	FALSE
human	Prestw-1217	TRUE	0	FALSE
human	Prestw-1219	TRUE	2	TRUE
human	Prestw-1222	TRUE	0	FALSE
human	Prestw-1223	TRUE	6	TRUE
human	Prestw-1224	TRUE	11	TRUE
human	Prestw-1228	TRUE	0	FALSE
human	Prestw-1229	TRUE	3	TRUE
human	Prestw-1231	TRUE	3	TRUE
human	Prestw-1232	TRUE	0	FALSE
human	Prestw-1233	TRUE	36	TRUE
human	Prestw-1236	TRUE	0	FALSE
human	Prestw-1239	TRUE	0	FALSE
human	Prestw-1242	TRUE	2	TRUE
human	Prestw-1244	TRUE	1	TRUE
human	Prestw-1246	TRUE	0	FALSE
human	Prestw-125	TRUE	4	TRUE
human	Prestw-1251	TRUE	0	FALSE
human	Prestw-1253	TRUE	0	FALSE
human	Prestw-1254	TRUE	1	TRUE
human	Prestw-1256	TRUE	0	FALSE
human	Prestw-1257	TRUE	0	FALSE
human	Prestw-1258	TRUE	0	FALSE
human	Prestw-1259	TRUE	0	FALSE
human	Prestw-1262	TRUE	1	TRUE
human	Prestw-1266	TRUE	2	TRUE
human	Prestw-1267	TRUE	0	FALSE
human	Prestw-1268	TRUE	0	FALSE
human	Prestw-1270	TRUE	8	TRUE
human	Prestw-1271	TRUE	0	FALSE
human	Prestw-1274	TRUE	0	FALSE
human	Prestw-128	TRUE	0	FALSE
human	Prestw-1280	TRUE	0	FALSE
human	Prestw-1283	TRUE	0	FALSE
human	Prestw-1285	TRUE	0	FALSE
human	Prestw-1286	TRUE	0	FALSE
human	Prestw-1288	TRUE	3	TRUE
human	Prestw-129	TRUE	0	FALSE
human	Prestw-1290	TRUE	0	FALSE
human	Prestw-1294	TRUE	0	FALSE
human	Prestw-1295	TRUE	0	FALSE
human	Prestw-1297	TRUE	6	TRUE
human	Prestw-13	TRUE	0	FALSE
human	Prestw-130	TRUE	0	FALSE
human	Prestw-1307	TRUE	0	FALSE
human	Prestw-1308	TRUE	0	FALSE
human	Prestw-131	TRUE	0	FALSE
human	Prestw-1310	TRUE	0	FALSE
human	Prestw-1314	TRUE	2	TRUE
human	Prestw-1316	TRUE	0	FALSE
human	Prestw-1317	TRUE	1	TRUE
human	Prestw-1318	TRUE	0	FALSE
human	Prestw-1319	TRUE	0	FALSE
human	Prestw-132	TRUE	7	TRUE
human	Prestw-1322	TRUE	0	FALSE
human	Prestw-1323	TRUE	1	TRUE
human	Prestw-1328	TRUE	0	FALSE
human	Prestw-133	TRUE	0	FALSE
human	Prestw-1334	TRUE	0	FALSE
human	Prestw-1336	TRUE	0	FALSE
human	Prestw-1337	TRUE	0	FALSE
human	Prestw-134	TRUE	0	FALSE
human	Prestw-1341	TRUE	9	TRUE
human	Prestw-1342	TRUE	0	FALSE
human	Prestw-1346	TRUE	1	TRUE
human	Prestw-135	TRUE	12	TRUE
human	Prestw-1350	TRUE	4	TRUE
human	Prestw-1352	TRUE	0	FALSE
human	Prestw-1356	TRUE	4	TRUE
human	Prestw-1358	TRUE	0	FALSE
human	Prestw-1359	TRUE	4	TRUE
human	Prestw-136	TRUE	10	TRUE
human	Prestw-1361	TRUE	0	FALSE
human	Prestw-1362	TRUE	0	FALSE
human	Prestw-1363	TRUE	0	FALSE
human	Prestw-1364	TRUE	17	TRUE
human	Prestw-1365	TRUE	1	TRUE
